id,"code","name",credit,term_id,"created_at","updated_at"
1,"INT3307 1","An toàn và an ninh mạng",3,1,"2016-12-27 04:56:00","2016-12-27 04:56:00"
2,"INT3307 2","An toàn và an ninh mạng",3,1,"2016-12-27 04:56:00","2016-12-27 04:56:00"
3,"PES1030 7","Bóng bàn",1,1,"2016-12-27 04:56:01","2016-12-27 04:56:01"
4,"PES1030 6","Bóng bàn",1,1,"2016-12-27 04:56:01","2016-12-27 04:56:01"
5,"PES1030 8","Bóng bàn",1,1,"2016-12-27 04:56:01","2016-12-27 04:56:01"
6,"PES1030 5","Bóng bàn",1,1,"2016-12-27 04:56:01","2016-12-27 04:56:01"
7,"PES1015 38","Bóng chuyền 1",1,1,"2016-12-27 04:56:02","2016-12-27 04:56:02"
8,"PES1015 35","Bóng chuyền 1",1,1,"2016-12-27 04:56:02","2016-12-27 04:56:02"
9,"PES1015 37","Bóng chuyền 1",1,1,"2016-12-27 04:56:02","2016-12-27 04:56:02"
10,"PES1015 36","Bóng chuyền 1",1,1,"2016-12-27 04:56:02","2016-12-27 04:56:02"
11,"PES1025 8","Bóng đá",1,1,"2016-12-27 04:56:04","2016-12-27 04:56:04"
12,"PES1025 6","Bóng đá",1,1,"2016-12-27 04:56:04","2016-12-27 04:56:04"
13,"PES1025 5","Bóng đá",1,1,"2016-12-27 04:56:04","2016-12-27 04:56:04"
14,"PES1025 7","Bóng đá",1,1,"2016-12-27 04:56:04","2016-12-27 04:56:04"
15,"PES1020 40","Bóng rổ 1",1,1,"2016-12-27 04:56:05","2016-12-27 04:56:05"
16,"PES1020 38","Bóng rổ 1",1,1,"2016-12-27 04:56:05","2016-12-27 04:56:05"
17,"PES1020 37","Bóng rổ 1",1,1,"2016-12-27 04:56:05","2016-12-27 04:56:05"
18,"PES1020 39","Bóng rổ 1",1,1,"2016-12-27 04:56:05","2016-12-27 04:56:05"
19,"EPN3005 1","Các chip sinh học",2,1,"2016-12-27 04:56:06","2016-12-27 04:56:06"
20,"INT 3220","Các chủ đề hiện đại của Hệ thống thông tin",3,1,"2016-12-27 04:56:06","2016-12-27 04:56:06"
21,"EPN3006 1","Các hệ vi cơ điện tử và ứng dụng",2,1,"2016-12-27 04:56:07","2016-12-27 04:56:07"
22,"EMA3119 1","Các phương pháp số trong cơ học vật liệu và kết cấu",4,1,"2016-12-27 04:56:07","2016-12-27 04:56:07"
23,"EPN2023 1","Các phương pháp toán lý",3,1,"2016-12-27 04:56:07","2016-12-27 04:56:07"
24,"INT3507 5","Các vấn đề hiện đại của Công nghệ thông tin",3,1,"2016-12-27 04:56:07","2016-12-27 04:56:07"
25,"INT3507 1","Các vấn đề hiện đại của Công nghệ thông tin",3,1,"2016-12-27 04:56:07","2016-12-27 04:56:07"
26,"INT3507 3","Các vấn đề hiện đại của Công nghệ thông tin",3,1,"2016-12-27 04:56:07","2016-12-27 04:56:07"
27,"INT3507 7","Các vấn đề hiện đại của Công nghệ thông tin",3,1,"2016-12-27 04:56:07","2016-12-27 04:56:07"
28,"INT3507 8","Các vấn đề hiện đại của Công nghệ thông tin",3,1,"2016-12-27 04:56:07","2016-12-27 04:56:07"
29,"INT3507 2","Các vấn đề hiện đại của Công nghệ thông tin",3,1,"2016-12-27 04:56:07","2016-12-27 04:56:07"
30,"INT3507 4","Các vấn đề hiện đại của Công nghệ thông tin",3,1,"2016-12-27 04:56:08","2016-12-27 04:56:08"
31,"INT3011 2","Các vấn đề hiện đại của Khoa học máy tính",3,1,"2016-12-27 04:56:09","2016-12-27 04:56:09"
32,"INT3011 1","Các vấn đề hiện đại của Khoa học máy tính",3,1,"2016-12-27 04:56:09","2016-12-27 04:56:09"
33,"EPN3009 1","Các vật liệu polymer chức năng cấu trúc nanô",2,1,"2016-12-27 04:56:09","2016-12-27 04:56:09"
34,"EPN3010 1","Các vật liệu từ tính cấu trúc nanô và kỹ thuật spin điện tử",2,1,"2016-12-27 04:56:09","2016-12-27 04:56:09"
